Price	Close	Close	Close	High	High	High	Low	Low	Low	Open	Open	Open	Volume	Volume	Volume
Ticker	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE
Date															
20-01-23	156.67453	102.9422684	130.9643402	157.6269588	103.1924499	131.8874043	151.245689	101.8452885	129.672042	152.3886006	102.9615103	129.856652	61038	1802253	1284462
23-01-23	157.8174438	103.2117004	132.8473969	157.8174438	103.8852775	132.8843273	154.388709	102.4611411	130.9643521	156.3888007	103.5581136	131.4628006	42163	1099041	839297
24-01-23	151.1504364	102.5958557	132.2751007	156.1983116	103.2694328	133.8073906	147.2454873	102.2301933	131.3335713	152.1028651	102.8652865	133.1058528	90506	1327348	829307
25-01-23	148.8646088	101.9415207	131.832016	155.1506295	103.0577351	132.6073864	148.6741259	101.1717121	131.1120131	153.4362694	102.8652866	131.9981608	46638	1259402	661439
26-01-23	149.9122772	101.0369949	132.9766235	149.9122772	101.5951058	133.7150777	145.0548994	97.63060394	131.7581861	146.8645082	101.2294434	133.1796988	49246	3430189	913761
27-01-23	148.388382	101.0369949	132.9766235	151.340902	101.0369949	132.9766235	148.388382	101.0369949	132.9766235	150.1027564	101.0369949	132.9766235	29011	0	0
30-01-23	148.8646088	103.0577316	132.2381592	149.2455744	103.423394	133.5119922	147.6264485	99.82454726	131.6843292	148.3883944	100.1132273	132.7920033	40470	2334266	893622
31-01-23	149.2455597	104.2894211	131.9058685	149.4360425	104.2894211	132.7920164	147.3407025	102.1339672	131.5551137	148.3883798	102.942267	132.6443227	49322	2031207	1150999
01-02-23	149.5312958	105.1169662	131.9981689	150.1979929	105.7713014	133.2166203	147.8169213	103.500374	131.5735533	148.76935	103.5966056	131.8874058	38394	2197111	1073862
02-02-23	148.1979065	108.3309021	132.6627655	150.197998	108.4848594	133.2719912	147.340712	105.7520529	130.2443422	149.6265495	105.8482771	132.8843059	61462	2845182	1712687
03-02-23	149.1503448	108.0422211	133.8627625	150.1027736	108.0422211	133.8627625	147.9121846	106.4641201	131.7212469	148.5788818	107.2916617	131.7950938	34331	1918758	1303133
06-02-23	148.388382	107.6188278	131.9612579	149.1503278	108.0422233	133.5489153	146.7692562	106.8105354	131.5551075	149.1503278	107.1954397	133.0504669	52630	1484608	1032436
07-02-23	144.1976929	106.6950607	130.0228119	148.293139	107.3493958	132.2935558	143.2452642	106.117708	129.8935835	148.293139	107.2916628	132.2750906	44792	1596841	1489430
08-02-23	145.2453766	106.4833755	129.2843475	147.2454827	107.2724261	131.4073976	144.1976992	106.1562043	128.8966623	144.8644109	107.2339349	131.075094	35473	1530868	1177517
09-02-23	146.293045	107.1569519	137.9242401	148.1979023	107.9267605	140.4903573	145.5310992	106.7528057	134.6012177	146.3882792	106.7912968	135.9119671	23924	1312550	4102016
10-02-23	147.9121857	105.4826279	138.4658051	149.3408288	106.6373335	140.8410246	146.9597569	105.0014993	137.6487289	147.1502398	106.4833762	138.4467992	26973	1638535	2134958
13-02-23	150.8647003	105.9637604	138.8648376	153.0552892	106.1754508	139.2068698	148.6741259	105.0784782	137.2686826	148.9598429	105.3671583	138.7128201	37845	984624	780987
14-02-23	152.1028595	105.7520599	137.7817383	153.4362684	107.1184633	139.4158905	150.2932508	105.6558357	137.4586974	150.7694651	105.809793	139.20687	40464	1254696	1132545
15-02-23	153.6267395	106.6180954	141.088028	154.0077051	106.791302	141.4680572	151.9123651	105.6173471	137.3636858	152.3885794	105.7520625	137.5537004	26867	1110499	1515198
16-02-23	155.4363708	106.8105392	140.023941	156.1983168	107.5995898	142.4181518	153.2457818	105.7135667	139.0168503	153.7219962	107.2916678	141.5440728	30019	1292208	1007953
17-02-23	156.1983032	105.347908	138.1807709	156.1983032	105.732805	139.0168528	153.4362659	104.1162128	136.926648	155.3411232	104.8860214	138.9028324	25884	1749234	1456118
20-02-23	155.6268463	105.1554565	137.4396973	157.4364696	105.5403609	138.4847851	154.6744176	104.5203707	137.1736739	156.1983094	105.4248874	138.1807646	31403	615044	594858
21-02-23	159.5318146	103.6928253	136.5656281	159.5318146	105.0592286	137.610716	155.0554024	103.307921	135.2354964	155.4363681	104.7897978	136.9076602	44430	1530426	921292
22-02-23	157.6269379	104.6165924	137.1356812	159.2460636	104.8282901	137.6107251	156.8649921	103.2886729	135.0454907	159.1508295	104.2316881	135.7865581	32588	1132309	957683
23-02-23	157.341217	104.693573	138.6938019	158.3888944	106.0022432	139.7389042	154.7696625	104.6165907	137.3636849	157.1507342	105.0977192	137.3636849	52745	1021388	933421
24-02-23	157.912674	102.8845291	134.3994141	160.0080141	105.578852	139.7198965	157.912674	102.8845291	134.3994141	158.1031568	104.8475345	139.1498526	52197	5340632	3946863
27-02-23	157.055481	104.2894211	136.6226196	159.3413185	105.0014966	137.8577366	156.1030523	103.558111	135.8055436	157.055481	103.7313175	135.8055436	26536	1252955	954536
28-02-23	154.960144	103.4233932	137.4776917	157.0554842	104.0969703	138.0857472	154.960144	103.2694286	135.4254987	156.2935529	104.0777284	136.1855718	73797	1728280	1546800
01-03-23	154.5791931	102.5958557	138.0857544	155.626856	104.2894229	140.8980206	150.5789952	102.2494426	137.7437222	152.8648184	103.7120701	137.9527427	52137	1242357	1160724
02-03-23	157.055481	103.1732025	137.2496948	157.055481	103.4426333	137.64873	154.4839265	101.4411369	135.6915514	154.8649067	102.1339631	136.9646656	44009	1434347	987149
03-03-23	156.1983032	105.2516785	139.7389221	157.5316976	105.6943158	139.9289368	156.1030545	103.7698017	137.4016996	156.8650004	103.7890509	138.0287611	25952	1819425	1076253
06-03-23	155.3411255	107.734314	140.1569519	156.6745198	109.1584578	140.4799783	154.2934481	105.6173511	139.7579168	156.0078227	105.8097996	139.8719227	28994	2208607	751355
07-03-23	155.4363708	106.5988388	140.6320038	156.1983168	108.2346803	141.3730711	153.4362792	106.5795969	140.1379541	155.7221024	107.7727936	140.612998	27299	1234479	1058064
08-03-23	152.1028595	106.6565781	142.3421631	155.5316086	107.0799736	142.5701749	152.1028595	105.9445098	140.3469729	154.5791799	106.0792252	140.3659787	58682	1359747	1720525
09-03-23	170.6752319	107.2339325	143.6152802	171.5324265	107.715061	143.8622978	156.2935663	105.3863933	141.867122	157.4364779	106.2716754	142.0381309	169079	1025204	1365518
10-03-23	169.913269	106.3101654	140.1379547	174.2944467	107.0799667	142.1711421	168.8656062	105.2901679	139.2828815	171.2466779	105.3671502	141.1070484	67204	1522059	1487332
13-03-23	165.2463837	103.1732025	133.9243927	171.1514389	107.0222307	140.4609874	162.674829	102.2686785	133.3543342	170.4847417	106.5795934	140.4419961	51761	2765499	2206899
14-03-23	168.9608612	105.9060135	138.3137817	169.5323243	106.3679001	138.750814	164.5796975	103.8467839	134.1523926	165.3416434	103.8660331	134.779454	38734	1783373	1593475
15-03-23	166.865509	104.2894211	131.2071228	172.3895985	105.4633759	138.313775	165.6273488	103.0000001	130.827079	171.7229013	105.136212	137.6107049	96126	2876509	2516705
16-03-23	170.103775	108.388649	133.9243927	171.1514379	108.6580798	134.3994366	167.0559915	104.4049048	130.1810442	169.2465805	105.4248951	133.8483839	59924	2807670	2031435
17-03-23	166.865509	107.3686447	130.5040588	171.9133842	110.0629601	135.1404919	166.008329	106.8105339	129.4969681	170.8657068	109.2161765	134.3804187	144655	5400835	4578830
20-03-23	169.7227783	108.6773148	131.8911896	170.2942413	109.4856072	132.9172716	163.2462608	106.2139317	127.938821	166.6750096	107.3301534	130.9030902	50467	1971293	1450323
21-03-23	169.8180542	109.5433426	135.6535339	172.5800918	109.8320227	136.6986363	168.4846452	108.3693951	132.4802442	170.3895027	108.8312744	132.9172765	61526	1529457	1423746
22-03-23	174.9611511	109.4856186	137.7057343	174.9611511	109.9667472	138.8268309	170.1037734	109.1969458	135.3495205	170.6752219	109.6973163	135.7675469	72703	1244009	1232664
23-03-23	174.1039734	110.3516541	137.9337463	175.7230993	110.7173091	138.2947844	173.627759	108.8505352	135.4065237	173.9134906	109.5048704	137.192679	44703	1610398	1171187
24-03-23	173.2467651	109.6780701	133.5633392	173.2467651	111.0444734	137.5346991	170.3894792	109.0237349	132.043193	173.2467651	110.4286294	137.5157078	51024	2014219	1650259
27-03-23	173.3420258	110.0437241	134.589447	176.4850434	110.9097569	135.8435554	172.9610601	109.755044	133.7343593	174.6754201	110.2746637	135.3875173	45481	1257060	1031831
28-03-23	173.5325012	109.4471207	136.3565979	175.2468757	110.428627	136.7366272	172.3895897	109.1969391	135.5395219	174.9611442	110.0437227	135.6535277	45766	858486	804037
29-03-23	175.2468719	110.2746582	138.9978485	175.2468719	110.2746582	139.1308602	173.3420146	109.196935	137.0026583	174.2944433	110.0437186	137.0026583	32697	1565811	1221549
30-03-23	173.4372711	111.0059891	141.1070404	175.913577	111.1791957	141.7340873	172.7705594	110.2939208	139.4918941	175.2468798	110.6018428	139.6629029	46708	1347212	1124328
31-03-23	173.9134979	111.6795654	141.8101044	175.1516437	112.0452279	142.2851483	172.9610692	110.9097641	140.9360253	174.1039808	110.9097641	141.5060838	71177	2102556	1537226
03-04-23	173.3420258	111.2369232	140.8600159	174.8659175	112.1029561	141.7340949	172.0086314	110.9867343	140.1569602	174.1039716	111.8527672	141.3350598	57004	1158686	874281
04-04-23	174.4849396	111.9489822	140.1949615	175.0564026	112.4686019	142.4181636	173.0562965	110.8905009	139.9479439	174.3897054	111.2754052	141.2210582	37178	1487650	919746
05-04-23	175.0563965	111.8720169	136.7556305	175.5326108	113.2384203	141.6580867	173.2467732	111.8527677	136.0335545	175.4373621	112.1991808	141.3730575	37952	1274820	1714312
